codigo;capitulo;partida;descripcion;unidad;precio;categoria;subcategoria;coste_materiales;coste_mano_obra;coste_complementarios;coste_otros;rendimiento;desperdicio_pct;notas_tecnicas
CT-01-03-010;Trabajos preliminares y provisionales;Apeo de losa con puntales metálicos y durmientes de reparto.;Apeo provisional de losa mediante puntales metálicos telescópicos sobre durmientes de reparto en cabeza y base, para sostener la estructura mientras se ejecutan demoliciones, aperturas de hueco o refuerzos. Su ejecución debe responder a un cálculo o a la instrucción expresa del profesional responsable, que define la separación y la carga de los puntales. Incluye el replanteo de la retícula de apeo, la colocación de los durmientes, el montaje y puesta en carga de los puntales sin forzar la estructura, la verificación de la verticalidad y del apoyo, el mantenimiento y revisión durante los trabajos y el desapeo escalonado una vez alcanzada la resistencia prevista. Medido en superficie de losa realmente apeada.;m2;20.59;Apeos y apuntalamientos;;13.02;2.66;0.16;0.00;0.560 h/m²;;Coste directo 15.84 USD + margen 30%
CT-01-03-020;Trabajos preliminares y provisionales;Apeo de viga con puntales metálicos.;Apeo provisional de viga mediante puntales metálicos telescópicos con durmiente de reparto en cabeza, dispuestos a ambos lados del elemento a intervenir. Debe responder a un cálculo o a la instrucción del profesional responsable. Incluye el replanteo de los puntos de apeo, la colocación de los durmientes, el montaje y puesta en carga progresiva de los puntales, la comprobación de que la carga se transmite a un apoyo con capacidad suficiente en el nivel inferior, la revisión durante los trabajos y el desapeo escalonado. Medido en longitud de viga realmente apeada.;m;17.16;Apeos y apuntalamientos;;10.03;3.04;0.13;0.00;0.640 h/m;;Coste directo 13.20 USD + margen 30%
CT-01-03-030;Trabajos preliminares y provisionales;Apuntalamiento de vano durante la apertura de hueco.;Apuntalamiento provisional del muro situado sobre un vano que se va a abrir o ampliar, mediante puntales y durmientes que reciben la carga de la fábrica superior mientras se ejecuta la demolición y se coloca el dintel definitivo. Es la operación que evita el colapso de la fábrica al retirar el apoyo. Incluye el replanteo, la apertura de las cajas de apoyo del durmiente en el muro, el montaje y puesta en carga de los puntales a ambas caras, la verificación durante la demolición, la retirada del apeo una vez fraguado y en carga el dintel definitivo y el resane de las cajas de apoyo. Medido por vano realmente apuntalado.;ud;49.58;Apeos y apuntalamientos;;23.49;13.30;0.38;0.97;2.800 h/ud;;Coste directo 38.14 USD + margen 30%
CT-01-03-040;Trabajos preliminares y provisionales;Apeo o arriostramiento provisional de muro.;Apeo o arriostramiento provisional de muro mediante puntales inclinados con durmientes de reparto, para estabilizarlo frente a empujes o vuelco durante los trabajos en su entorno. Debe responder a la instrucción del profesional responsable. Incluye el replanteo de los puntos de apoyo, la preparación de las bases de reparto en el piso, el montaje y puesta en carga de los puntales inclinados, la comprobación periódica de la estabilidad y del apriete, y el desmontaje una vez consolidado el elemento. Medido en superficie de muro realmente apeada.;m2;17.64;Apeos y apuntalamientos;;10.59;2.85;0.13;0.00;0.600 h/m²;;Coste directo 13.57 USD + margen 30%
CT-01-04-010;Trabajos preliminares y provisionales;Cata en pared para reconocimiento de instalaciones o soporte.;Apertura de cata de reconocimiento en pared, de dimensiones aproximadas 30x30 cm, para identificar el tipo de soporte, su espesor o la presencia de instalaciones empotradas antes de proyectar la intervención. Incluye la localización previa con detector electrónico para no perforar una tubería o un cable en servicio, el picado controlado por capas hasta descubrir el elemento buscado, el registro fotográfico del hallazgo, y el resane de la cata con mortero de reparación dejando el paramento apto para su acabado. Medido por cata realmente ejecutada.;ud;7.79;Catas, sondeos y replanteos;;1.15;3.36;0.06;1.42;0.720 h/ud;;Coste directo 5.99 USD + margen 30%
CT-01-04-020;Trabajos preliminares y provisionales;Cata en piso o losa para reconocimiento de capas o instalaciones.;Apertura de cata de reconocimiento en piso o losa, de dimensiones aproximadas 40x40 cm, para identificar el espesor y el estado del contrapiso, la existencia de impermeabilización o la presencia de instalaciones enterradas antes de definir la intervención. Incluye la localización previa con detector, el corte perimetral con disco para obtener un borde limpio, el picado por capas con registro del espesor de cada una, el registro fotográfico, y la reposición de la cata con mortero de reparación enrasado con el nivel existente. Medido por cata realmente ejecutada.;ud;11.63;Catas, sondeos y replanteos;;2.09;4.43;0.09;2.34;0.950 h/ud;;Coste directo 8.95 USD + margen 30%
CT-01-04-030;Trabajos preliminares y provisionales;Detección no destructiva de instalaciones empotradas.;Localización de tuberías, canalizaciones eléctricas y armaduras empotradas mediante detector electrónico, sin picar el paramento, con marcado del trazado sobre la superficie. Es el paso previo que evita cortar una instalación en servicio al abrir rozas o taladrar, y permite replantear las nuevas canalizaciones esquivando las existentes. Incluye el barrido sistemático de la superficie, el marcado del trazado detectado, la anotación de las profundidades estimadas y el levantamiento de un croquis de lo localizado. Medido en superficie realmente barrida.;m2;1.46;Catas, sondeos y replanteos;;0.05;0.72;0.01;0.34;0.130 h/m²;;Coste directo 1.12 USD + margen 30%
CT-01-04-040;Trabajos preliminares y provisionales;Replanteo general de la obra y trazado de ejes.;Replanteo general de la intervención sobre el inmueble, con trazado de los ejes de tabiquería, los niveles de piso terminado y las cotas de referencia, ejecutado con nivel láser y equipo de medición. Incluye la comprobación de escuadras y de la geometría real frente a la del plano, el marcado de los ejes sobre piso y paramentos, el establecimiento de la cota de nivel de referencia que regirá toda la obra, la señalización de los puntos fijos y la anotación de las discrepancias detectadas respecto al proyecto. Medido en superficie de intervención realmente replanteada.;m2;0.77;Catas, sondeos y replanteos;;0.06;0.42;0.01;0.10;0.090 h/m²;;Coste directo 0.59 USD + margen 30%
CT-01-04-050;Trabajos preliminares y provisionales;Levantamiento de medidas del inmueble existente.;Levantamiento en sitio de las medidas del inmueble existente, con toma de dimensiones de ambientes, alturas libres, vanos, y posición de instalaciones y elementos estructurales visibles, para elaborar el plano de estado actual sobre el que se proyecta la reforma. Incluye la medición con distanciómetro y cinta, la comprobación de escuadras y desplomes, el croquis acotado en sitio, el registro fotográfico de cada ambiente y la anotación de patologías aparentes. Medido en superficie de inmueble realmente levantada.;m2;0.62;Catas, sondeos y replanteos;;0.00;0.39;0.00;0.09;0.070 h/m²;;Coste directo 0.48 USD + margen 30%
CT-01-05-010;Trabajos preliminares y provisionales;Acometida eléctrica provisional de obra con tablero de protección.;Instalación eléctrica provisional para el suministro de la obra, formada por tablero con interruptor diferencial y protecciones magnetotérmicas, tomas de fuerza y cable encauchetado hasta los frentes de trabajo. Incluye la conexión al punto de suministro autorizado, el montaje y fijación del tablero en lugar protegido y accesible, el tendido del cableado por recorridos que no crucen zonas de paso ni de agua, la puesta a tierra del conjunto, la comprobación del disparo del diferencial antes de la puesta en servicio, el mantenimiento durante la obra y el desmontaje final. Medido por instalación realmente ejecutada.;ud;151.15;Servicios provisionales de obra;;91.92;23.20;1.15;0.00;4.800 h/ud;;Coste directo 116.27 USD + margen 30%
CT-01-05-020;Trabajos preliminares y provisionales;Punto de agua provisional de obra.;Instalación de punto de agua provisional para el amasado de morteros, la limpieza y el consumo de la obra, formado por derivación desde la red existente con llave de paso, manguera reforzada hasta el frente de trabajo y punto de descarga con recogida. Incluye la comprobación de la presión disponible, el montaje de la llave y los accesorios, el tendido de la manguera por recorridos protegidos del tránsito, la previsión de la evacuación del agua utilizada para no inundar zonas terminadas, el mantenimiento durante la obra y el desmontaje final con reposición del punto de toma. Medido por punto realmente instalado.;ud;46.23;Servicios provisionales de obra;;25.06;10.15;0.35;0.00;2.100 h/ud;;Coste directo 35.56 USD + margen 30%
CT-01-05-030;Trabajos preliminares y provisionales;Iluminación provisional de obra.;Iluminación provisional de los frentes de trabajo mediante reflectores de obra sobre soporte o suspendidos, alimentados desde el tablero provisional, garantizando el nivel de luz necesario para trabajar con seguridad y con calidad de acabado. Incluye el reparto de los puntos de luz según los frentes activos, el tendido del cableado, la fijación de los reflectores fuera de las zonas de paso y de proyección de material, su reubicación conforme avanza la obra, la reposición de lámparas y el desmontaje final. Medido en superficie de obra realmente iluminada.;m2;2.41;Servicios provisionales de obra;;1.48;0.35;0.02;0.00;0.075 h/m²;;Coste directo 1.85 USD + margen 30%
CT-01-05-040;Trabajos preliminares y provisionales;Baño portátil de obra, por mes de permanencia.;Puesta a disposición de baño portátil para el personal de obra, incluido su traslado, emplazamiento, mantenimiento y vaciado periódico durante un mes. Es exigible en obras sin servicios sanitarios utilizables y evita el uso de los del inmueble en reforma. Incluye el transporte y colocación en punto accesible al camión de servicio, el suministro de consumibles, el vaciado y limpieza periódicos y el retiro al finalizar el periodo. Medido por mes de permanencia.;ud;73.81;Servicios provisionales de obra;;0.00;1.22;0.56;55.00;0.350 h/ud;;Coste directo 56.78 USD + margen 30%
CT-01-05-050;Trabajos preliminares y provisionales;Caseta o zona cerrada de acopio de materiales y herramienta, por mes.;Habilitación de una zona cerrada dentro de la obra para el acopio de materiales y el guardado de herramienta, mediante cerramiento de lámina de madera sobre bastidor con puerta y cierre, o mediante la adecuación de un ambiente existente. Incluye el montaje del cerramiento y de la puerta con cerradura, la protección del piso de la zona de acopio, la organización de estanterías o tarimas para separar el material del suelo, el mantenimiento del orden durante el periodo y el desmontaje al finalizar la obra. Medido por mes de permanencia.;ud;146.84;Servicios provisionales de obra;;87.53;23.40;1.12;0.90;5.200 h/ud;;Coste directo 112.95 USD + margen 30%
CT-02-01-010;Demoliciones y desmontajes;Demolición de piso cerámico y su capa de pega.;Demolición de piso existente de baldosa cerámica o de porcelanato, junto con su capa de pega de mortero, ejecutada con martillo eléctrico manual sin comprometer la losa ni los elementos constructivos vecinos. Incluye protección previa de paredes, puertas y ambientes contiguos, control de polvo mediante aspiración, retiro manual del escombro en sacos hasta el punto de acopio y barrido de la superficie resultante, dejándola lista para recibir el nuevo contrapiso. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente demolida.;m2;4.88;Pisos y pavimentos;;0.59;1.97;0.04;1.15;0.530 h/m²;;Coste directo 3.75 USD + margen 30%
CT-02-01-020;Demoliciones y desmontajes;Demolición de rodapié cerámico.;Demolición de rodapié existente de baldosa cerámica o de porcelanato y de su capa de pega, ejecutada con medios manuales y martillo eléctrico, cuidando de no dañar el friso de la pared por encima de la línea del rodapié. Incluye retiro manual del escombro en sacos hasta el punto de acopio, repicado de los restos de mortero adheridos y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;1.00;Pisos y pavimentos;;0.11;0.45;0.01;0.20;0.120 h/m;;Coste directo 0.77 USD + margen 30%
CT-02-01-030;Demoliciones y desmontajes;Demolición de piso de granito o terrazo en baldosa.;Demolición de piso existente de baldosa de granito o terrazo prefabricado, junto con su capa de asiento de mortero, ejecutada con martillo eléctrico manual. Por la dureza y el espesor de este tipo de baldosa el rendimiento es menor que en un piso cerámico y el escombro resulta más pesado, lo que se refleja en el rendimiento de la partida. Incluye protección previa de los ambientes contiguos, control de polvo, retiro manual del escombro en sacos y limpieza de la superficie. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;5.90;Pisos y pavimentos;;0.79;2.31;0.04;1.40;0.620 h/m²;;Coste directo 4.54 USD + margen 30%
CT-02-01-040;Demoliciones y desmontajes;Demolición de rodapié de granito o terrazo.;Demolición de rodapié existente de granito o terrazo prefabricado y de su capa de asiento, ejecutada con martillo eléctrico manual, cuidando de no dañar el friso de la pared. Incluye repicado de los restos de mortero adheridos, retiro manual del escombro en sacos hasta el punto de acopio y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;1.17;Pisos y pavimentos;;0.14;0.52;0.01;0.23;0.140 h/m;;Coste directo 0.90 USD + margen 30%
CT-02-01-050;Demoliciones y desmontajes;Demolición de piso de granito vaciado en sitio.;Demolición de piso continuo de granito vaciado en sitio, incluida su base de mortero y las platinas divisorias de las juntas, ejecutada con martillo neumático por tratarse de una superficie monolítica de gran dureza. Incluye corte perimetral previo con amoladora de disco de diamante para delimitar la zona de intervención y evitar desprendimientos fuera de ella, protección de los ambientes contiguos, control de polvo, fragmentación del escombro en piezas manejables, retiro en sacos y limpieza. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;13.04;Pisos y pavimentos;;1.28;3.55;0.10;5.10;0.950 h/m²;;Coste directo 10.03 USD + margen 30%
CT-02-01-060;Demoliciones y desmontajes;Demolición de piso de cemento pulido.;Demolición de piso continuo de cemento pulido y de su base de mortero, ejecutada con martillo eléctrico manual, sin afectar a la losa estructural. Incluye corte perimetral con amoladora cuando la demolición sea parcial, protección de los ambientes contiguos, control de polvo mediante aspiración, fragmentación del escombro, retiro manual en sacos hasta el punto de acopio y limpieza de la superficie resultante. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;6.92;Pisos y pavimentos;;0.96;2.61;0.05;1.70;0.700 h/m²;;Coste directo 5.32 USD + margen 30%
CT-02-01-070;Demoliciones y desmontajes;Demolición de rodapié de cemento.;Demolición de rodapié corrido de mortero de cemento, ejecutada con medios manuales y cincel, cuidando de no dañar el friso de la pared por encima de la línea del rodapié. Incluye repicado de los restos adheridos al paramento, retiro manual del escombro en sacos hasta el punto de acopio y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;0.91;Pisos y pavimentos;;0.10;0.41;0.01;0.18;0.110 h/m;;Coste directo 0.70 USD + margen 30%
CT-02-01-080;Demoliciones y desmontajes;Demolición de piso de piedra natural.;Demolición de piso existente de piedra natural, ya sea mármol, granito natural o laja, junto con su capa de asiento de mortero, ejecutada con martillo eléctrico manual. Si el cliente desea recuperar las piezas, se levantan una a una con cuidado, se limpian de mortero y se acopian protegidas, lo que reduce el rendimiento y debe advertirse en el presupuesto. Incluye protección de los ambientes contiguos, control de polvo, retiro manual del escombro en sacos y limpieza de la superficie. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;6.34;Pisos y pavimentos;;0.86;2.53;0.05;1.44;0.680 h/m²;;Coste directo 4.88 USD + margen 30%
CT-02-01-090;Demoliciones y desmontajes;Demolición de rodapié de piedra natural.;Demolición de rodapié existente de piedra natural y de su capa de asiento, ejecutada con martillo eléctrico manual, cuidando de no dañar el friso de la pared. Incluye repicado de los restos de mortero adheridos, retiro manual del escombro en sacos hasta el punto de acopio y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;1.25;Pisos y pavimentos;;0.14;0.56;0.01;0.25;0.150 h/m;;Coste directo 0.96 USD + margen 30%
CT-02-01-100;Demoliciones y desmontajes;Levantado de piso de parquet o madera.;Levantado de piso existente de parquet o de tablilla de madera, incluidos los rastreles o el adhesivo de fijación al contrapiso, ejecutado con medios manuales mediante palanca y espátula. Incluye el retiro previo de las molduras de remate, el rascado de los restos de adhesivo adheridos al contrapiso, la extracción de los clavos o tornillos que queden en la base, el retiro del material en sacos hasta el punto de acopio y la limpieza de la superficie resultante. No incluye el bote del escombro. Medido en superficie realmente levantada.;m2;2.17;Pisos y pavimentos;;0.38;1.12;0.02;0.15;0.300 h/m²;;Coste directo 1.67 USD + margen 30%
CT-02-01-110;Demoliciones y desmontajes;Levantado de rodapié de madera.;Levantado de rodapié existente de madera, ejecutado con medios manuales mediante palanca y espátula, cuidando de no dañar el friso de la pared. Incluye la extracción de los clavos, tornillos o tacos de fijación que queden en el paramento, el retiro del material en sacos hasta el punto de acopio y la limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente levantada.;m;0.43;Pisos y pavimentos;;0.05;0.28;0.00;0.00;0.080 h/m;;Coste directo 0.33 USD + margen 30%
CT-02-01-120;Demoliciones y desmontajes;Levantado de piso laminado.;Levantado de piso laminado flotante existente, incluidas la manta acústica y las molduras de remate perimetrales, ejecutado con medios manuales. Por tratarse de un sistema flotante de encastre el desmontaje es rápido y no genera escombro pesado. Incluye el desmontaje ordenado de las tablas, el retiro de la manta y del perfil perimetral, la limpieza y aspirado del contrapiso resultante y el retiro del material en sacos hasta el punto de acopio. No incluye el bote del escombro. Medido en superficie realmente levantada.;m2;1.26;Pisos y pavimentos;;0.20;0.63;0.01;0.13;0.180 h/m²;;Coste directo 0.97 USD + margen 30%
CT-02-01-130;Demoliciones y desmontajes;Levantado de piso vinílico, linóleo o alfombra.;Levantado de revestimiento de piso flexible existente, ya sea vinílico en lámina o baldosa, linóleo o alfombra, incluido el adhesivo de fijación al contrapiso, ejecutado con medios manuales mediante espátula y rasqueta. Incluye la aplicación puntual de disolvente removedor en las zonas donde el adhesivo esté fuertemente adherido, el rascado hasta dejar el contrapiso limpio y sin restos que comprometan la adherencia del nuevo acabado, la ventilación del ambiente durante los trabajos, el retiro del material en sacos y la limpieza final. No incluye el bote del escombro. Medido en superficie realmente levantada.;m2;2.12;Pisos y pavimentos;;0.64;0.82;0.02;0.15;0.220 h/m²;;Coste directo 1.63 USD + margen 30%
CT-02-01-140;Demoliciones y desmontajes;Demolición de piso continuo de concreto.;Demolición de piso continuo de concreto de hasta 10 cm de espesor, ejecutada con martillo neumático, sin afectar a la losa estructural ni a las instalaciones que discurran por debajo. Incluye la comprobación previa de que no existen tuberías ni canalizaciones enterradas en la zona, el corte perimetral con amoladora de disco de diamante para delimitar la demolición, la protección de los ambientes contiguos, el control de polvo, la fragmentación del escombro en piezas manejables, el retiro en sacos hasta el punto de acopio y la limpieza. Si el piso está armado con malla electrosoldada se incluye su corte y retiro. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;15.33;Pisos y pavimentos;;1.56;4.11;0.12;6.00;1.100 h/m²;;Coste directo 11.79 USD + margen 30%
CT-02-01-150;Demoliciones y desmontajes;Demolición de contrapiso o base de mortero de nivelación.;Demolición de contrapiso o base de mortero de nivelación de hasta 5 cm de espesor, una vez retirado el piso de acabado, ejecutada con martillo eléctrico manual hasta dejar la losa estructural a la vista y limpia. Se emplea cuando la base existente está disgregada, hueca o fuera de nivel y no admite recibir el nuevo piso. Incluye la comprobación previa del estado de la base mediante golpeo, la protección de los ambientes contiguos, el control de polvo mediante aspiración, el retiro manual del escombro en sacos y el barrido final de la losa. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;7.18;Pisos y pavimentos;;1.03;2.79;0.05;1.65;0.750 h/m²;;Coste directo 5.52 USD + margen 30%
CT-02-01-160;Demoliciones y desmontajes;Desmontaje de piso técnico registrable.;Desmontaje de piso técnico registrable existente, formado por paneles apoyados sobre pedestales regulables, ejecutado con medios manuales. Por tratarse de un sistema desmontable la operación es limpia y permite recuperar el material. Incluye la retirada ordenada de los paneles con ventosa, el desmontaje de los pedestales y travesaños, la clasificación de las piezas en aprovechables y desechables, el acopio protegido de las que el cliente desee conservar, el retiro del resto en sacos y la limpieza de la losa resultante. No incluye el bote del escombro. Medido en superficie realmente desmontada.;m2;1.09;Pisos y pavimentos;;0.16;0.56;0.01;0.11;0.150 h/m²;;Coste directo 0.84 USD + margen 30%
CT-02-02-010;Demoliciones y desmontajes;Picado de enchapado cerámico en pared y su capa de pega.;Picado de enchapado cerámico o de porcelanato existente en pared, incluida su capa de pega de mortero, ejecutado con martillo eléctrico manual hasta dejar el friso o el bloque a la vista, sin comprometer la estabilidad del muro ni dañar las tuberías y canalizaciones empotradas. Incluye la localización previa de las instalaciones que discurren por el paramento, la protección de pisos, aparatos y puertas, el control de polvo mediante aspiración, el retiro manual del escombro en sacos hasta el punto de acopio y la limpieza de la superficie, dejándola lista para recibir el nuevo friso. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;6.25;Revestimientos y frisos de pared;;0.68;2.62;0.05;1.46;0.700 h/m²;;Coste directo 4.81 USD + margen 30%
CT-02-02-020;Demoliciones y desmontajes;Picado de enchapado de granito o terrazo en pared.;Picado de enchapado de granito o terrazo prefabricado existente en pared, incluida su capa de asiento de mortero, ejecutado con martillo eléctrico manual. Por el mayor espesor y peso de estas piezas frente al enchapado cerámico, el rendimiento es menor y el escombro más pesado. Incluye la protección de pisos y ambientes contiguos, el control de polvo, el retiro manual del escombro en sacos hasta el punto de acopio y el repicado de los restos de mortero adheridos al paramento. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;7.31;Revestimientos y frisos de pared;;0.92;2.92;0.06;1.72;0.780 h/m²;;Coste directo 5.62 USD + margen 30%
CT-02-02-030;Demoliciones y desmontajes;Picado de enchapado de piedra natural en pared.;Picado de enchapado de piedra natural existente en pared, ya sea mármol, laja o piedra de revestimiento, incluida su capa de asiento y los anclajes metálicos si los tuviera, ejecutado con martillo eléctrico manual. Si el cliente desea recuperar las piezas se desmontan una a una con cuidado, se limpian y se acopian protegidas, lo que reduce el rendimiento y debe advertirse en el presupuesto. Incluye la protección del entorno, el control de polvo, el retiro del escombro en sacos y el repicado de los restos adheridos. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;7.67;Revestimientos y frisos de pared;;0.97;3.07;0.06;1.80;0.820 h/m²;;Coste directo 5.90 USD + margen 30%
