codigo;capitulo;titulo;unidad;mano_obra;horas_oficial_por_unidad;horas_ayudante_por_unidad;horas_persona_por_unidad;horas_equipo_por_unidad;recursos;recursos_provisionales_ve;codigos_provisionales_ve;coste_directo_ve_usd;precio_venta_ve_usd;descripcion_caracteres;codigo_legacy;apu_duplicado
01.03.01.060;01;Protección de carpintería y aparatos que permanecen en obra.;m²;MO-AYU · apoyo general de obra · 0.0800 h/m²;0.0000;0.0800;0.0800;0.0000;4;3;MT-CINTA-ENM,MT-PROT-CARTON,MT-PROT-PLAST;0.99;1.34;481;CT-01-01-060;
01.03.01.070;01;Traslado y acopio protegido del mobiliario del cliente.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.1300 h/m² | MO-AYU · apoyo general de obra · 0.2200 h/m²;0.0000;0.3500;0.3500;0.0000;5;3;MT-CINTA-ENM,MT-PROT-CARTON,MT-PROT-PLAST;2.04;2.75;572;CT-01-01-070;
01.03.01.080;01;Protección de fachada con malla de obra.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0900 h/m² | MO-AYU · apoyo general de obra · 0.1100 h/m²;0.0000;0.2000;0.2000;0.1000;5;2;MQ-ANDAMIO,MT-MALLA-OBRA;2.34;3.15;541;CT-01-01-080;
01.03.01.090;01;Puerta provisional de acceso a la zona de obra.;ud;MO-OF1-CARPM · carpintería de madera · 1.4000 h/ud | MO-AYU · apoyo general de obra · 0.7000 h/ud;1.4000;0.7000;2.1000;0.3300;10;3;MQ-ATORN,MQ-SIERRA,MT-PROT-PLAST;70.24;94.82;392;CT-01-01-090;
01.03.01.100;01;Protección de escalera existente.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m2 | MO-AYU · apoyo general de obra · 0.1500 h/m2;0.0000;0.3000;0.3000;0.0000;4;2;MT-CINTA-ENM,MT-PROT-CARTON;2.00;2.70;145;;
01.03.01.110;01;Protección de ventanas y vidrios.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m2 | MO-AYU · apoyo general de obra · 0.1500 h/m2;0.0000;0.3000;0.3000;0.0000;4;2;MT-CINTA-ENM,MT-PROT-PLAST;1.81;2.44;141;;2
01.03.01.120;01;Protección de puerta existente.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m2 | MO-AYU · apoyo general de obra · 0.1500 h/m2;0.0000;0.3000;0.3000;0.0000;4;2;MT-CINTA-ENM,MT-PROT-CARTON;1.88;2.54;124;;
01.03.01.130;01;Protección de baranda o pasamanos existente.;m;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m | MO-AYU · apoyo general de obra · 0.1000 h/m;0.0000;0.2000;0.2000;0.0000;4;2;MT-CINTA-ENM,MT-PROT-PLAST;1.08;1.46;110;;
01.03.01.140;01;Protección de cielo raso existente.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.2000 h/m2 | MO-AYU · apoyo general de obra · 0.2000 h/m2;0.0000;0.4000;0.4000;0.0500;5;3;MQ-ANDAMIO,MT-CINTA-ENM,MT-PROT-PLAST;2.29;3.09;132;;
01.03.01.150;01;Protección de zócalo o rodapié existente.;m;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m | MO-AYU · apoyo general de obra · 0.0800 h/m;0.0000;0.1600;0.1600;0.0000;4;2;MT-CINTA-ENM,MT-PROT-CARTON;0.97;1.31;107;;
01.03.01.160;01;Protección de sanitarios y grifería existente.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.2000 h/m2 | MO-AYU · apoyo general de obra · 0.2000 h/m2;0.0000;0.4000;0.4000;0.0000;4;2;MT-CINTA-ENM,MT-PROT-PLAST;1.84;2.48;131;;
01.03.01.170;01;Protección de mesón o mueble de cocina.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1800 h/m2 | MO-AYU · apoyo general de obra · 0.1800 h/m2;0.0000;0.3600;0.3600;0.0000;4;2;MT-CINTA-ENM,MT-PROT-CARTON;2.17;2.92;126;;
01.04.01.010;01;Barrera antipolvo con lámina plástica.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m2 | MO-AYU · apoyo general de obra · 0.1500 h/m2;0.0000;0.3000;0.3000;0.0000;4;2;MT-CINTA-ENM,MT-PROT-PLAST;1.81;2.44;134;;2
01.04.01.020;01;Cerramiento de vano con lámina de madera.;m2;MO-OF1-CARPM · carpintería de madera · 0.4000 h/m2 | MO-AYU · apoyo general de obra · 0.2500 h/m2;0.4000;0.2500;0.6500;0.1000;6;1;MQ-SIERRA;19.00;25.65;122;;
01.04.01.030;01;Junta de estanqueidad antipolvo en vano.;m;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m | MO-AYU · apoyo general de obra · 0.0800 h/m;0.0000;0.1600;0.1600;0.0000;4;2;MT-CINTA-ENM,MT-PROT-PLAST;1.05;1.42;121;;
01.04.01.040;01;Mampara antipolvo con puerta.;m2;MO-OF1-CARPM · carpintería de madera · 0.3000 h/m2 | MO-AYU · apoyo general de obra · 0.2000 h/m2;0.3000;0.2000;0.5000;0.0800;6;3;MQ-SIERRA,MT-PROT-PLAST,MT-ZIPPER;8.73;11.78;122;;
01.04.02.010;01;Señalización y delimitación de zona de obra.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m2 | MO-AYU · apoyo general de obra · 0.1000 h/m2;0.0000;0.2000;0.2000;0.0000;4;1;MT-CINTA-ENM;2.35;3.18;133;;
01.04.02.020;01;Control de acceso a zona de obra.;m2;MO-OF1-CARPM · carpintería de madera · 0.3000 h/m2 | MO-AYU · apoyo general de obra · 0.2000 h/m2;0.3000;0.2000;0.5000;0.0800;6;2;MQ-SIERRA,MT-CINTA-ENM;6.85;9.25;132;;
01.04.02.030;01;Cartel informativo de obra.;ud;MO-AYU-ESP · apoyo especializado de obra · 0.2000 h/ud | MO-AYU · apoyo general de obra · 0.1500 h/ud;0.0000;0.3500;0.3500;0.1000;4;1;MQ-TALADRO;7.04;9.51;101;;2
01.05.01.010;01;Andamio tubular de fachada, montaje, alquiler mensual y desmontaje.;m²;MO-OF1-ALB · albañilería · 0.2200 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.2200 h/m² | MO-AYU · apoyo general de obra · 0.2400 h/m²;0.2200;0.4600;0.6800;2.6000;6;1;MQ-ANDAMIO;8.44;11.39;643;CT-01-02-010;
01.05.01.020;01;Permanencia adicional de andamio de fachada, por mes.;m²;MO-OF1-ALB · albañilería · 0.0300 h/m² | MO-AYU · apoyo general de obra · 0.0300 h/m²;0.0300;0.0300;0.0600;0.9000;3;1;MQ-ANDAMIO;2.00;2.70;451;CT-01-02-020;
01.05.01.030;01;Andamio interior móvil o sobre borriquetas.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0450 h/m² | MO-AYU · apoyo general de obra · 0.0450 h/m²;0.0000;0.0900;0.0900;0.5500;3;1;MQ-ANDAMIO;1.40;1.89;464;CT-01-02-030;
01.05.01.040;01;Montacargas o pluma de obra para bajada de material, por mes.;ud;MO-OF1-ALB · albañilería · 3.5000 h/ud | MO-AYU · apoyo general de obra · 3.5000 h/ud;3.5000;3.5000;7.0000;8.0000;4;1;MQ-MONTAC;119.69;161.57;460;CT-01-02-040;
01.05.01.050;01;Andamio colgante o silleta para trabajos en fachada.;m²;MO-OF1-ALB · albañilería · 0.1800 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.1800 h/m²;0.1800;0.1800;0.3600;0.9000;5;2;MQ-ANDAMIO,MT-LINEA-VIDA;6.67;9.00;556;CT-01-02-050;
01.05.01.060;01;Andamio tubular de fachada con plataforma.;m2;MO-OF1-ALB · albañilería · 0.3000 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.3000;0.3000;0.6000;0.5000;5;2;MQ-ANDAMIO,MT-BARANDA-PROV;8.18;11.04;164;;
01.05.01.070;01;Andamio colgante para trabajos en fachada.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU · apoyo general de obra · 0.3500 h/m2;0.4000;0.3500;0.7500;0.6000;4;1;MQ-ANDAMIO;7.28;9.82;151;;
01.05.01.080;01;Andamio interior móvil.;m2;MO-OF1-ALB · albañilería · 0.2000 h/m2 | MO-AYU · apoyo general de obra · 0.2000 h/m2;0.2000;0.2000;0.4000;0.4000;4;1;MQ-ANDAMIO;4.36;5.89;145;;
01.05.01.090;01;Andamio de borriquetas para interior.;m2;MO-OF1-ALB · albañilería · 0.1800 h/m2 | MO-AYU · apoyo general de obra · 0.1800 h/m2;0.1800;0.1800;0.3600;0.3500;4;1;MQ-ANDAMIO;3.64;4.92;150;;
01.05.01.100;01;Andamio de fachada con red de seguridad.;m2;MO-OF1-ALB · albañilería · 0.3200 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.3200;0.3000;0.6200;0.5000;5;2;MQ-ANDAMIO,MT-RED-SEG;9.13;12.33;115;;
01.05.01.110;01;Andamio de fachada con protección de malla.;m2;MO-OF1-ALB · albañilería · 0.3200 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.3200;0.3000;0.6200;0.5000;5;2;MQ-ANDAMIO,MT-MALLA-OBRA;7.02;9.48;120;;
01.05.01.120;01;Plataforma elevadora móvil de tijera.;m2;MO-OF1-ALB · albañilería · 0.2500 h/m2 | MO-AYU · apoyo general de obra · 0.1500 h/m2;0.2500;0.1500;0.4000;0.4000;3;1;MQ-MONTAC;5.76;7.77;140;;
01.05.01.130;01;Plataforma elevadora articulada.;m2;MO-OF1-ALB · albañilería · 0.3000 h/m2 | MO-AYU · apoyo general de obra · 0.1800 h/m2;0.3000;0.1800;0.4800;0.5000;3;1;MQ-MONTAC;7.10;9.59;135;;
01.05.01.140;01;Escalera de acceso provisional.;m;MO-OF1-CARPM · carpintería de madera · 0.5000 h/m | MO-AYU · apoyo general de obra · 0.3000 h/m;0.5000;0.3000;0.8000;0.1500;5;1;MQ-SIERRA;10.97;14.81;132;;
01.05.01.150;01;Rampa provisional de acceso.;m2;MO-OF1-CARPM · carpintería de madera · 0.5000 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.5000;0.3000;0.8000;0.1500;5;1;MQ-SIERRA;13.21;17.83;122;;
01.06.01.010;01;Apeo de losa con puntales metálicos y durmientes de reparto.;m²;MO-OF1-ALB · albañilería · 0.2800 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.2800 h/m²;0.2800;0.2800;0.5600;0.0000;5;0;;14.78;19.95;716;CT-01-03-010;
01.06.01.020;01;Apeo de viga con puntales metálicos.;m;MO-OF1-ALB · albañilería · 0.3200 h/m | MO-AYU-ESP · apoyo especializado de obra · 0.3200 h/m;0.3200;0.3200;0.6400;0.0000;5;0;;12.36;16.69;569;CT-01-03-020;
01.06.01.030;01;Apuntalamiento de vano durante la apertura de hueco.;ud;MO-OF1-ALB · albañilería · 1.4000 h/ud | MO-AYU-ESP · apoyo especializado de obra · 1.4000 h/ud;1.4000;1.4000;2.8000;0.2500;7;1;MQ-MART-ELEC;37.40;50.49;625;CT-01-03-030;
01.06.01.040;01;Apeo o arriostramiento provisional de muro.;m²;MO-OF1-ALB · albañilería · 0.3000 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.3000 h/m²;0.3000;0.3000;0.6000;0.0000;6;0;;13.17;17.78;548;CT-01-03-040;
01.06.01.050;01;Apeo de losa con puntales y durmientes.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.4000;0.3000;0.7000;0.0500;5;1;MQ-NIVEL-LASER;10.77;14.53;150;;
01.06.01.060;01;Apeo de viga con puntales.;m;MO-OF1-ALB · albañilería · 0.3000 h/m | MO-AYU · apoyo general de obra · 0.2500 h/m;0.3000;0.2500;0.5500;0.0000;4;0;;8.81;11.90;124;;
01.06.01.070;01;Apuntalamiento de muro con madera.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.4000;0.3000;0.7000;0.0000;4;1;MT-MADERA-ENTIB;10.22;13.80;125;;
01.06.01.080;01;Apeo de cubierta o techo.;m2;MO-OF1-ALB · albañilería · 0.4200 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.4200;0.3000;0.7200;0.0500;5;1;MQ-NIVEL-LASER;10.88;14.68;123;;
01.06.01.090;01;Apeo de dintel durante apertura de vano.;m;MO-OF1-ALB · albañilería · 0.2800 h/m | MO-AYU · apoyo general de obra · 0.2000 h/m;0.2800;0.2000;0.4800;0.0000;4;0;;7.27;9.82;110;;
01.06.01.100;01;Estabilización de muro con arriostramiento.;m2;MO-OF1-SOLD · soldadura · 0.5000 h/m2 | MO-AYU · apoyo general de obra · 0.3500 h/m2;0.5000;0.3500;0.8500;0.3000;5;1;MQ-SOLDADORA;12.38;16.71;147;;
01.06.01.110;01;Apeo de fachada durante demolición parcial.;m2;MO-OF1-ALB · albañilería · 0.4200 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.4200;0.3000;0.7200;0.0000;4;0;;10.77;14.53;130;;
01.06.01.120;01;Apeo de escalera existente.;m;MO-OF1-ALB · albañilería · 0.3000 h/m | MO-AYU · apoyo general de obra · 0.2200 h/m;0.3000;0.2200;0.5200;0.0000;4;0;;8.12;10.96;123;;
01.06.01.130;01;Apeo de losa con torres de carga.;m2;MO-OF1-ALB · albañilería · 0.4500 h/m2 | MO-AYU · apoyo general de obra · 0.3200 h/m2;0.4500;0.3200;0.7700;0.0000;4;0;;12.11;16.36;114;;
01.06.01.140;01;Apuntalamiento de talud interior.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU · apoyo general de obra · 0.3000 h/m2;0.4000;0.3000;0.7000;0.0000;4;1;MT-MADERA-ENTIB;10.39;14.03;124;;
01.07.01.010;01;Replanteo general de la obra y trazado de ejes.;m²;MO-OF1-ALB · albañilería · 0.0550 h/m² | MO-AYU · apoyo general de obra · 0.0350 h/m²;0.0550;0.0350;0.0900;0.0450;4;2;MQ-NIVEL-LASER,MT-CINTA-ENM;0.59;0.80;573;CT-01-04-040;
01.07.01.020;01;Replanteo de ejes de muros.;m;MO-OF1-ALB · albañilería · 0.1200 h/m | MO-AYU · apoyo general de obra · 0.0600 h/m;0.1200;0.0600;0.1800;0.0600;3;1;MQ-NIVEL-LASER;1.01;1.37;112;;2
01.07.01.030;01;Replanteo de niveles y pendientes.;m;MO-OF1-ALB · albañilería · 0.1000 h/m | MO-AYU · apoyo general de obra · 0.0500 h/m;0.1000;0.0500;0.1500;0.0600;3;1;MQ-NIVEL-LASER;0.87;1.17;108;;
01.07.01.040;01;Control geométrico de paramentos.;m2;MO-OF1-ALB · albañilería · 0.1200 h/m2 | MO-AYU · apoyo general de obra · 0.0600 h/m2;0.1200;0.0600;0.1800;0.0500;3;1;MQ-NIVEL-LASER;0.99;1.34;132;;2
01.07.01.050;01;Replanteo de instalaciones.;ud;MO-OF1-ELE · electricidad · 0.8000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.8000;0.4000;1.2000;0.3000;3;1;MQ-NIVEL-LASER;6.52;8.81;132;;
01.07.01.060;01;Replanteo de vanos y carpintería.;m;MO-OF1-ALB · albañilería · 0.1200 h/m | MO-AYU · apoyo general de obra · 0.0600 h/m;0.1200;0.0600;0.1800;0.0600;3;1;MQ-NIVEL-LASER;1.01;1.37;108;;2
01.07.01.070;01;Replanteo de cielos rasos.;m2;MO-OF1-MON · montaje de prefabricados e instalaciones · 0.1200 h/m2 | MO-AYU · apoyo general de obra · 0.0600 h/m2;0.1200;0.0600;0.1800;0.0600;3;1;MQ-NIVEL-LASER;1.01;1.37;104;;
01.07.01.080;01;Replanteo de escalera.;ud;MO-OF1-ALB · albañilería · 0.8000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.8000;0.4000;1.2000;0.4000;3;1;MQ-NIVEL-LASER;6.75;9.11;113;;
01.07.01.090;01;Control de planitud de pisos.;m2;MO-OF1-PISO · colocación de pisos · 0.1000 h/m2 | MO-AYU · apoyo general de obra · 0.0500 h/m2;0.1000;0.0500;0.1500;0.0400;3;1;MQ-NIVEL-LASER;0.82;1.11;110;;
01.07.01.100;01;Replanteo de desagües y pendientes.;m;MO-OF1-PLO · plomería · 0.1200 h/m | MO-AYU · apoyo general de obra · 0.0600 h/m;0.1200;0.0600;0.1800;0.0600;3;1;MQ-NIVEL-LASER;1.01;1.37;118;;
01.07.01.110;01;Replanteo de particiones.;m2;MO-OF1-ALB · albañilería · 0.1200 h/m2 | MO-AYU · apoyo general de obra · 0.0600 h/m2;0.1200;0.0600;0.1800;0.0500;3;1;MQ-NIVEL-LASER;0.99;1.34;107;;2
01.08.01.010;01;Acometida eléctrica provisional de obra con tablero de protección.;ud;MO-OF1-ELE · electricidad · 3.2000 h/ud | MO-AYU · apoyo general de obra · 1.6000 h/ud;3.2000;1.6000;4.8000;0.0000;6;0;;202.75;273.71;620;CT-01-05-010;
01.08.01.020;01;Punto de agua provisional de obra.;ud;MO-OF1-PLO · plomería · 1.4000 h/ud | MO-AYU · apoyo general de obra · 0.7000 h/ud;1.4000;0.7000;2.1000;0.0000;5;2;MT-LLAVE-PROV,MT-MANGUERA;35.72;48.23;618;CT-01-05-020;
01.08.01.030;01;Iluminación provisional de obra.;m²;MO-OF1-ELE · electricidad · 0.0450 h/m² | MO-AYU · apoyo general de obra · 0.0300 h/m²;0.0450;0.0300;0.0750;0.0000;5;1;MT-LAMP-OBRA;3.72;5.02;560;CT-01-05-030;
01.08.01.040;01;Baño portátil de obra, por mes de permanencia.;ud;MO-AYU · apoyo general de obra · 0.3500 h/ud;0.0000;0.3500;0.3500;0.0000;2;1;MQ-BANO-PORT;56.79;76.66;463;CT-01-05-040;
01.08.01.050;01;Caseta o zona cerrada de acopio de materiales y herramienta, por mes.;ud;MO-OF1-ALB · albañilería · 2.6000 h/ud | MO-AYU · apoyo general de obra · 2.6000 h/ud;2.6000;2.6000;5.2000;0.6000;7;2;MQ-TALADRO,MT-PROT-CARTON;138.58;187.09;539;CT-01-05-050;
01.08.01.060;01;Acometida eléctrica provisional de obra.;ud;MO-OF1-ELE · electricidad · 3.0000 h/ud | MO-AYU · apoyo general de obra · 1.5000 h/ud;3.0000;1.5000;4.5000;0.0000;5;0;;167.41;226.00;131;;
01.08.01.070;01;Punto de agua provisional con llave y manguera.;ud;MO-OF1-PLO · plomería · 1.0000 h/ud | MO-AYU · apoyo general de obra · 0.5000 h/ud;1.0000;0.5000;1.5000;0.0000;5;2;MT-LLAVE-PROV,MT-MANGUERA;25.25;34.09;116;;
01.08.01.080;01;Iluminación provisional con reflectores.;ud;MO-OF1-ELE · electricidad · 1.0000 h/ud | MO-AYU · apoyo general de obra · 0.5000 h/ud;1.0000;0.5000;1.5000;0.0000;4;1;MT-LAMP-OBRA;59.34;80.11;119;;
01.08.01.090;01;Baño portátil de obra, por mes.;ud;MO-AYU-ESP · apoyo especializado de obra · 0.3000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.0000;0.6000;0.6000;0.0000;3;1;MQ-BANO-PORT;57.82;78.06;111;;
01.08.01.100;01;Caseta de acopio de materiales, por mes.;ud;MO-AYU-ESP · apoyo especializado de obra · 0.3000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.0000;0.6000;0.6000;0.0000;3;1;MT-CASETA-BIEN;123.47;166.69;123;;
01.08.01.110;01;Suministro de botiquín de primeros auxilios.;ud;MO-AYU-ESP · apoyo especializado de obra · 0.2000 h/ud | MO-AYU · apoyo general de obra · 0.1500 h/ud;0.0000;0.3500;0.3500;0.1000;4;1;MQ-TALADRO;36.84;49.73;136;;
01.08.01.120;01;Extintor de obra.;ud;MO-AYU-ESP · apoyo especializado de obra · 0.2000 h/ud | MO-AYU · apoyo general de obra · 0.1500 h/ud;0.0000;0.3500;0.3500;0.1000;4;1;MQ-TALADRO;7.04;9.51;117;;2
